"Time (s)","Pressure (hPa)"
8.031523074E1,1.017762695E3
8.041519754E1,1.017762695E3
8.051516420E1,1.017781738E3
8.061513087E1,1.017743896E3
8.071509754E1,1.017743896E3
8.081506447E1,1.017705566E3
8.091503127E1,1.017732422E3
8.101499794E1,1.017732422E3
8.111496460E1,1.017732422E3
8.121493127E1,1.017717285E3
8.131489793E1,1.017717285E3
8.141486487E1,1.017766846E3
8.151483153E1,1.017762695E3
8.161479820E1,1.017762695E3
8.171476513E1,1.017766846E3
8.181473180E1,1.017758057E3
8.191469860E1,1.017768799E3
8.201466526E1,1.017771973E3
8.211463193E1,1.017747803E3
8.221459860E1,1.017747314E3
8.231456553E1,1.017770264E3
8.241453233E1,1.017786133E3
8.251449900E1,1.017766357E3
8.261446566E1,1.017773193E3
8.271443233E1,1.017799561E3
8.281439899E1,1.017834473E3
8.291436493E1,1.017830078E3
8.301436493E1,1.017825684E3
8.311436493E1,1.017807617E3
8.321436496E1,1.017815186E3
8.331436496E1,1.017783447E3
8.341436496E1,1.017787354E3
8.351436496E1,1.017783936E3
8.361436496E1,1.017788574E3
8.371436496E1,1.017783691E3
8.381436496E1,1.017795654E3
8.391436509E1,1.017785156E3
8.401436509E1,1.017778076E3
8.411436509E1,1.017795410E3
8.421436509E1,1.017794678E3
8.431436509E1,1.017808838E3
8.441436509E1,1.017794189E3
8.451436509E1,1.017778076E3
8.461436509E1,1.017777832E3
8.471436486E1,1.017807373E3
8.481436486E1,1.017774902E3
8.491436486E1,1.017774902E3
8.501436486E1,1.017764648E3
8.511436486E1,1.017818359E3
8.521436486E1,1.017818359E3
8.531436486E1,1.017800049E3
8.541436486E1,1.017792480E3
8.551436486E1,1.017792480E3
8.561436486E1,1.017788818E3
8.571436486E1,1.017796143E3
8.581436486E1,1.017796143E3
8.591436472E1,1.017778564E3
8.601436472E1,1.017760986E3
8.611436472E1,1.017760986E3
8.621436469E1,1.017779541E3
8.631436469E1,1.017778320E3
8.641436469E1,1.017778320E3
8.651436469E1,1.017771240E3
